"date","observer.initials","obs.method","device","point.number","time","sky","wind","noise","temp","species.code","count.number","type.a.v","distance.50.u.o","notes","correct.id"
2023-07-26,"EDH","merlin","iPhone SE","RC4","10:36",0,0,1,70,"BTNW",1,"a",NA,"","yes"
2023-07-26,"EDH","merlin","iPhone SE","RC4","10:36",0,0,1,70,"NAWA",1,"a",NA,"","no"
2023-07-26,"EDH","merlin","iPhone SE","RC4","10:36",0,0,1,70,"OVEN",1,"a",NA,"","yes"
2023-07-26,"EDH","merlin","iPhone SE","RC4","10:36",0,0,1,70,"HETH",1,"a",NA,"","yes"
2023-07-26,"EDH","merlin","iPhone SE","RC4","10:36",0,0,1,70,"WTSP",1,"a",NA,"","yes"
2023-07-26,"KL","playback",NA,"RC4","10:36",0,0,1,70,"REVI",NA,"a",NA,"",NA
2023-07-26,"KL","playback",NA,"RC4","10:36",0,0,1,70,"BTNW",NA,"a",NA,"",NA
2023-07-26,"KL","playback",NA,"RC4","10:36",0,0,1,70,"OVEN",NA,"a",NA,"",NA
2023-07-26,"KL","playback",NA,"RC4","10:36",0,0,1,70,"HETH",NA,"a",NA,"",NA
2023-07-26,"KL","playback",NA,"RC4","10:36",0,0,1,70,"WTSP",NA,"a",NA,"",NA
2023-07-26,"KL","playback",NA,"RC4","10:36",0,0,1,70,"warbler sp.",NA,"a",NA,"",NA
2023-07-26,"BDG","hearing","human","RC5","10:47",0,0,1,74,"HETH",2,"a","o","","yes"
2023-07-26,"BDG","hearing","human","RC5","10:47",0,0,1,74,"BHVI",1,"a","u","","yes"
2023-07-26,"BDG","hearing","human","RC5","10:47",0,0,1,74,"MAWA",1,"a","u","","no"
2023-07-26,"BDG","hearing","human","RC5","10:47",0,0,1,74,"NOFL",1,"a","u","","yes"
2023-07-26,"EDH","merlin","iPhone SE","RC5","10:47",0,0,1,74,"BHVI",1,"a",NA,"","yes"
2023-07-26,"EDH","merlin","iPhone SE","RC5","10:47",0,0,1,74,"NOFL",1,"a",NA,"","yes"
2023-08-03,"EDH","hearing","human","RC1","12:11",0,1,1,68,"REVI",1,"a","o","","unverifiable"
2023-08-03,"EDH","hearing","human","RC1","12:11",0,1,1,68,"AMCR",1,"a","o","","unverifiable"
2023-08-03,"EDH","hearing","human","RC1","12:11",0,1,1,68,"CEDW",2,"a","u","","yes"
2023-08-03,"EDH","merlin","iPhone SE","RC1","12:11",0,1,1,68,"CEDW",1,"a",NA,"","yes"
2023-08-03,"KL","playback",NA,"RC1","12:11",0,1,1,68,"CEDW",NA,"a",NA,"",NA
2023-08-03,"BDG","hearing","human","RC10","10:41",0,1,1,64,"REVI",1,"a","o","","yes"
2023-08-03,"EDH","merlin","iPhone SE","RC10","10:41",0,1,1,64,"none",NA,NA,NA,"",NA
2023-08-03,"KL","playback",NA,"RC10","10:41",0,1,1,64,"REVI",NA,"a",NA,"",NA
2023-08-03,"BDG","merlin","iPhone 14","RC2","12:22",0,1,1,68,"BCCH",1,"a",NA,"","yes"
2023-08-03,"EDH","hearing","human","RC2","12:22",0,1,1,68,"BCCH",2,"a","u","","yes"
2023-08-03,"EDH","hearing","human","RC2","12:22",0,1,1,68,"RBNU",1,"a","o","","unverifiable"
2023-08-03,"EDH","hearing","human","RC2","12:22",0,1,1,68,"UNK",1,"a","u","",NA
